user_zone,plant_zone,water_freq
BSk,Dfa,med
BSk,Dfb,med
BSk,Dfc,med
BSk,Dfd,med
BSk,Dsa,low
BSk,Dsb,low
BSk,Dsc,low
BSk,Dsd,low
BSk,Dwa,low
BSk,Dwb,low
BSk,Dwc,low
BSk,Dwd,low
BSk,EF,low
BSk,ET,low
BSh,Af,med
BSh,Am,med
BSh,As,low
BSh,Aw,med
BSh,BWk,low
BSh,BWh,low
BSh,BSk,low
BSh,BSh,low
BSh,Cfa,med
BSh,Cfb,med
BSh,Cfc,med
BSh,Csa,med
BSh,Csb,med
BSh,Csc,med
BSh,Cwa,med
BSh,Cwb,med
BSh,Cwc,med
BSh,Dfa,med
BSh,Dfb,med
BSh,Dfc,med
BSh,Dfd,med
BSh,Dsa,low
BSh,Dsb,low
BSh,Dsc,low
BSh,Dsd,low
BSh,Dwa,low
BSh,Dwb,low
BSh,Dwc,low
BSh,Dwd,low
BSh,EF,low
BSh,ET,low
Cfa,Af,high
Cfa,Am,high
Cfa,As,low
Cfa,Aw,med
Cfa,BWk,low
Cfa,BWh,low
Cfa,BSk,low
Cfa,BSh,low
Cfa,Cfa,med
Cfa,Cfb,med
Cfa,Cfc,med
Cfa,Csa,med
Cfa,Csb,med
Cfa,Csc,med
Cfa,Cwa,med
Cfa,Cwb,med
Cfa,Cwc,med
Cfa,Dfa,high
Cfa,Dfb,high
Cfa,Dfc,high
Cfa,Dfd,high
Cfa,Dsa,low
Cfa,Dsb,low
Cfa,Dsc,low
Cfa,Dsd,low
Cfa,Dwa,low
Cfa,Dwb,low
Cfa,Dwc,low
Cfa,Dwd,low
Cfa,EF,low
Cfa,ET,low
Cfb,Af,high
Cfb,Am,high
Cfb,As,low
Cfb,Aw,med
Cfb,BWk,low
Cfb,BWh,low
Cfb,BSk,low
Cfb,BSh,low
Cfb,Cfa,med
Cfb,Cfb,med
Cfb,Cfc,med
Cfb,Csa,med
Cfb,Csb,med
Cfb,Csc,med
Cfb,Cwa,med
Cfb,Cwb,med
Cfb,Cwc,med
Cfb,Dfa,high
Cfb,Dfb,high
Cfb,Dfc,high
Cfb,Dfd,high
Cfb,Dsa,low
Cfb,Dsb,low
Cfb,Dsc,low
Cfb,Dsd,low
Cfb,Dwa,low
Cfb,Dwb,low
Cfb,Dwc,low
Cfb,Dwd,low
Cfb,EF,low
Cfb,ET,low
Cfc,Af,high
Cfc,Am,high
Cfc,As,low
Cfc,Aw,med
Cfc,BWk,low
Cfc,BWh,low
Cfc,BSk,low
Cfc,BSh,low
Cfc,Cfa,med
Cfc,Cfb,med
Cfc,Cfc,med
Cfc,Csa,med
Cfc,Csb,med
Cfc,Csc,med
Cfc,Cwa,med
Cfc,Cwb,med
Cfc,Cwc,med
Cfc,Dfa,high
Cfc,Dfb,high
Cfc,Dfc,high
Cfc,Dfd,high
Cfc,Dsa,low
Cfc,Dsb,low
Cfc,Dsc,low
Cfc,Dsd,low
Cfc,Dwa,low
Cfc,Dwb,low
Cfc,Dwc,low
Cfc,Dwd,low
Cfc,EF,low
Cfc,ET,low
Csa,Af,high
Csa,Am,high
Csa,As,low
Csa,Aw,med
Csa,BWk,low
Csa,BWh,low
Csa,BSk,low
Csa,BSh,low
Csa,Cfa,med
Csa,Cfb,med
Csa,Cfc,med
Csa,Csa,med
Csa,Csb,med
Csa,Csc,med
Csa,Cwa,med
Csa,Cwb,med
Csa,Cwc,med
Csa,Dfa,high
Csa,Dfb,high
Csa,Dfc,high
Csa,Dfd,high
Csa,Dsa,low
Csa,Dsb,low
Csa,Dsc,low
Csa,Dsd,low
Csa,Dwa,low
Csa,Dwb,low
Csa,Dwc,low
Csa,Dwd,low
Csa,EF,low
Csa,ET,low
Csb,Af,high
Csb,Am,high
Csb,As,low
Csb,Aw,med
Csb,BWk,low
Csb,BWh,low
Csb,BSk,low
Csb,BSh,low
Csb,Cfa,med
Csb,Cfb,med
Csb,Cfc,med
Csb,Csa,med
Csb,Csb,med
Csb,Csc,med
Csb,Cwa,med
Csb,Cwb,med
Csb,Cwc,med
Csb,Dfa,high
Csb,Dfb,high
Csb,Dfc,high
Csb,Dfd,high
Csb,Dsa,low
Csb,Dsb,low
Csb,Dsc,low
Csb,Dsd,low
Csb,Dwa,low
Csb,Dwb,low
Csb,Dwc,low
Csb,Dwd,low
Csb,EF,low
Csb,ET,low
Csc,Af,high
Csc,Am,high
Csc,As,low
Csc,Aw,med
Csc,BWk,low
Csc,BWh,low
Csc,BSk,low
Csc,BSh,low
Csc,Cfa,med
Csc,Cfb,med
Csc,Cfc,med
Csc,Csa,med
Csc,Csb,med
Csc,Csc,med
Csc,Cwa,med
Csc,Cwb,med
Csc,Cwc,med
Csc,Dfa,high
Csc,Dfb,high
Csc,Dfc,high
Csc,Dfd,high
Csc,Dsa,low
Csc,Dsb,low
Csc,Dsc,low
Csc,Dsd,low
Csc,Dwa,low
Csc,Dwb,low
Csc,Dwc,low
Csc,Dwd,low
Csc,EF,low
Csc,ET,low
Cwa,Af,high
Cwa,Am,high
Cwa,As,low
Cwa,Aw,med
Cwa,BWk,low
Cwa,BWh,low
Cwa,BSk,low
Cwa,BSh,low
Cwa,Cfa,med
Cwa,Cfb,med
Cwa,Cfc,med
Cwa,Csa,med
Cwa,Csb,med
Cwa,Csc,med
Cwa,Cwa,med
Cwa,Cwb,med
Cwa,Cwc,med
Cwa,Dfa,high
Cwa,Dfb,high
Cwa,Dfc,high
Cwa,Dfd,high
Cwa,Dsa,low
Cwa,Dsb,low
Cwa,Dsc,low
Cwa,Dsd,low
Cwa,Dwa,low
Cwa,Dwb,low
Cwa,Dwc,low
Cwa,Dwd,low
Cwa,EF,low
Cwa,ET,low
Cwb,Af,high
Cwb,Am,high
Cwb,As,low
Cwb,Aw,med
Cwb,BWk,low
Cwb,BWh,low
Cwb,BSk,low
Cwb,BSh,low
Cwb,Cfa,med
Cwb,Cfb,med
Cwb,Cfc,med
Cwb,Csa,med
Cwb,Csb,med
Cwb,Csc,med
Cwb,Cwa,med
Cwb,Cwb,med
Cwb,Cwc,med
Cwb,Dfa,high
Cwb,Dfb,high
Cwb,Dfc,high
Cwb,Dfd,high
Cwb,Dsa,low
Cwb,Dsb,low
Cwb,Dsc,low
Cwb,Dsd,low
Cwb,Dwa,low
Cwb,Dwb,low
Cwb,Dwc,low
Cwb,Dwd,low
Cwb,EF,low
Cwb,ET,low
Cwc,Af,high
Cwc,Am,high
Cwc,As,low
Cwc,Aw,med
Cwc,BWk,low
Cwc,BWh,low
Cwc,BSk,low
Cwc,BSh,low
Cwc,Cfa,med
Cwc,Cfb,med
Cwc,Cfc,med
Cwc,Csa,med
Cwc,Csb,med
Cwc,Csc,med
Cwc,Cwa,med
Cwc,Cwb,med
Cwc,Cwc,med
Cwc,Dfa,high
Cwc,Dfb,high
Cwc,Dfc,high
Cwc,Dfd,high
Cwc,Dsa,low
Cwc,Dsb,low
Cwc,Dsc,low
Cwc,Dsd,low
Cwc,Dwa,low
Cwc,Dwb,low
Cwc,Dwc,low
Cwc,Dwd,low
Cwc,EF,low
Cwc,ET,low
Dfa,Af,high
Dfa,Am,high
Dfa,As,med
Dfa,Aw,low
Dfa,BWk,med
Dfa,BWh,med
Dfa,BSk,med
Dfa,BSh,med
Dfa,Cfa,low
Dfa,Cfb,low
Dfa,Cfc,low
Dfa,Csa,low
Dfa,Csb ,low
Dfa,Csc,low
Dfa,Cwa,low
Dfa,Cwb,low
Dfa,Cwc,low
Dfa,Dfa,high
Dfa,Dfb,high
Dfa,Dfc,high
Dfa,Dfd,high
Dfa,Dsa,med
Dfa,Dsb,med
Dfa,Dsc,med
Dfa,Dsd,med
Dfa,Dwa,med
Dfa,Dwb,med
Dfa,Dwc,med
Dfa,Dwd,med
Dfa,EF,med
Dfa,ET,med
Dfb,Af,high
Dfb,Am,high
Dfb,As,med
Dfb,Aw,low
Dfb,BWk,med
Dfb,BWh,med
Dfb,BSk,med
Dfb,BSh,med
Dfb,Cfa,low
Dfb,Cfb,low
Dfb,Cfc,low
Dfb,Csa,low
Dfb,Csb,low
Dfb,Csc,low
Dfb,Cwa,low
Dfb,Cwb,low
Dfb,Cwc,low
Dfb,Dfa,high
Dfb,Dfb,high
Dfb,Dfc,high
Dfb,Dfd,high
Dfb,Dsa,med
Dfb,Dsb,med
Dfb,Dsc,med
Dfb,Dsd,med
Dfb,Dwa,med
Dfb,Dwb,med
Dfb,Dwc,med
Dfb,Dwd,med
Dfb,EF,med
Dfb,ET,med
Dfc,Af,high
Dfc,Am,high
Dfc,As,med
Dfc,Aw,low
Dfc,BWk,med
Dfc,BWh,med
Dfc,BSk,med
Dfc,BSh,med
Dfc,Cfa,low
Dfc,Cfb,low
Dfc,Cfc,low
Dfc,Csa,low
Dfc,Csb,low
Dfc,Csc,low
Dfc,Cwa,low
Dfc,Cwb,low
Dfc,Cwc,low
Dfc,Dfa,high
Dfc,Dfb,high
Dfc,Dfc,high
Dfc,Dfd,high
Dfc,Dsa,med
Dfc,Dsb,med
Dfc,Dsc,med
Dfc,Dsd,med
Dfc,Dwa,med
Dfc,Dwb,med
Dfc,Dwc,med
Dfc,Dwd,med
Dfc,EF,med
Dfc,ET,med
Dfd,Af,high
Dfd,Am,high
Dfd,As,med
Dfd,Aw,low
Dfd,BWk,med
Dfd,BWh,med
Dfd,BSk,med
Dfd,BSh,med
Dfd,Cfa,low
Dfd,Cfb,low
Dfd,Cfc,low
Dfd,Csa,low
Dfd,Csb,low
Dfd,Csc,low
Dfd,Cwa,low
Dfd,Cwb,low
Dfd,Cwc,low
Dfd,Dfa,high
Dfd,Dfb,high
Dfd,Dfc,high
Dfd,Dfd,high
Dfd,Dsa,med
Dfd,Dsb,med
Dfd,Dsc,med
Dfd,Dsd,med
Dfd,Dwa,med
Dfd,Dwb,med
Dfd,Dwc,med
Dfd,Dwd,med
Dfd,EF,med
Dfd,ET,med
Dsa,Af,med
Dsa,Am,med
Dsa,As,low
Dsa,Aw,med
Dsa,BWk,low
Dsa,BWh,low
Dsa,BSk,low
Dsa,BSh,low
Dsa,Cfa,med
Dsa,Cfb,med
Dsa,Cfc,med
Dsa,Csa,med
Dsa,Csb,med
Dsa,Csc,med
Dsa,Cwa,med
Dsa,Cwb,med
Dsa,Cwc,med
Dsa,Dfa,med
Dsa,Dfb,med
Dsa,Dfc,med
Dsa,Dfd,med
Dsa,Dsa,low
Dsa,Dsb,low
Dsa,Dsc,low
Dsa,Dsd,low
Dsa,Dwa,low
Dsa,Dwb,low
Dsa,Dwc,low
Dsa,Dwd,low
Dsa,EF,low
Dsa,ET,low
Dsb,Af,med
Dsb,Am,med
Dsb,As,low
Dsb,Aw,med
Dsb,BWk,low
Dsb,BWh,low
Dsb,BSk,low
Dsb,BSh,low
Dsb,Cfa,med
Dsb,Cfb,med
Dsb,Cfc,med
Dsb,Csa,med
Dsb,Csb,med
Dsb,Csc,med
Dsb,Cwa,med
Dsb,Cwb,med
Dsb,Cwc,med
Dsb,Dfa,med
Dsb,Dfb,med
Dsb,Dfc,med
Dsb,Dfd,med
Dsb,Dsa,low
Dsb,Dsb,low
Dsb,Dsc,low
Dsb,Dsd,low
Dsb,Dwa,low
Dsb,Dwb,low
Dsb,Dwc,low
Dsb,Dwd,low
Dsb,EF,low
Dsb,ET,low
Dsc,Af,med
Dsc,Am,med
Dsc,As,low
Dsc,Aw,med
Dsc,BWk,low
Dsc,BWh,low
Dsc,BSk,low
Dsc,BSh,low
Dsc,Cfa,med
Dsc,Cfb,med
Dsc,Cfc,med
Dsc,Csa,med
Dsc,Csb,med
Dsc,Csc,med
Dsc,Cwa,med
Dsc,Cwb,med
Dsc,Cwc,med
Dsc,Dfa,med
Dsc,Dfb,med
Dsc,Dfc,med
Dsc,Dfd,med
Dsc,Dsa,low
Dsc,Dsb,low
Dsc,Dsc,low
Dsc,Dsd,low
Dsc,Dwa,low
Dsc,Dwb,low
Dsc,Dwc,low
Dsc,Dwd,low
Dsc,EF,low
Dsc,ET,low
Dsd,Af,med
Dsd,Am,med
Dsd,As,low
Dsd,Aw,med
Dsd,BWk,low
Dsd,BWh,low
Dsd,BSk,low
Dsd,BSh,low
Dsd,Cfa,med
Dsd,Cfb,med
Dsd,Cfc,med
Dsd,Csa,med
Dsd,Csb,med
Dsd,Csc,med
Dsd,Cwa,med
Dsd,Cwb,med
Dsd,Cwc,med
Dsd,Dfa,med
Dsd,Dfb,med
Dsd,Dfc,med
Dsd,Dfd,med
Dsd,Dsa,low
Dsd,Dsb,low
Dsd,Dsc,low
Dsd,Dsd,low
Dsd,Dwa,low
Dsd,Dwb,low
Dsd,Dwc,low
Dsd,Dwd,low
Dsd,EF,low
Dsd,ET,low
Dwa,Af,med
Dwa,Am,med
Dwa,As,low
Dwa,Aw,med
Dwa,BWk,low
Dwa,BWh,low
Dwa,BSk,low
Dwa,BSh,low
Dwa,Cfa,med
Dwa,Cfb,med
Dwa,Cfc,med
Dwa,Csa,med
Dwa,Csb,med
Dwa,Csc,med
Dwa,Cwa,med
Dwa,Cwb,med
Dwa,Cwc,med
Dwa,Dfa,med
Dwa,Dfb,med
Dwa,Dfc,med
Dwa,Dfd,med
Dwa,Dsa,low
Dwa,Dsb,low
Dwa,Dsc,low
Dwa,Dsd,low
Dwa,Dwa,low
Dwa,Dwb,low
Dwa,Dwc,low
Dwa,Dwd,low
Dwa,EF,low
Dwa,ET,low
Dwb,Af,med
Dwb,Am,med
Dwb,As,low
Dwb,Aw,med
Dwb,BWk,low
Dwb,BWh,low
Dwb,BSk,low
Dwb,BSh,low
Dwb,Cfa,med
Dwb,Cfb,med
Dwb,Cfc,med
Dwb,Csa,med
Dwb,Csb,med
Dwb,Csc,med
Dwb,Cwa,med
Dwb,Cwb,med
Dwb,Cwc,med
Dwb,Dfa,med
Dwb,Dfb,med
Dwb,Dfc,med
Dwb,Dfd,med
Dwb,Dsa,low
Dwb,Dsb,low
Dwb,Dsc,low
Dwb,Dsd,low
Dwb,Dwa,low
Dwb,Dwb,low
Dwb,Dwc,low
Dwb,Dwd,low
Dwb,EF,low
Dwb,ET,low
Dwc,Af,med
Dwc,Am,med
Dwc,As,low
Dwc,Aw,med
Dwc,BWk,low
Dwc,BWh,low
Dwc,BSk,low
Dwc,BSh,low
Dwc,Cfa,med
Dwc,Cfb,med
Dwc,Cfc,med
Dwc,Csa,med
Dwc,Csb,med
Dwc,Csc,med
Dwc,Cwa,med
Dwc,Cwb,med
Dwc,Cwc,med
Dwc,Dfa,med
Dwc,Dfb,med
Dwc,Dfc,med
Dwc,Dfd,med
Dwc,Dsa,low
Dwc,Dsb,low
Dwc,Dsc,low
Dwc,Dsd,low
Dwc,Dwa,low
Dwc,Dwb,low
Dwc,Dwc,low
Dwc,Dwd,low
Dwc,EF,low
Dwc,ET,low
Dwd,Af,med
Dwd,Am,med
Dwd,As,low
Dwd,Aw,med
Dwd,BWk,low
Dwd,BWh,low
Dwd,BSk,low
Dwd,BSh,low
Dwd,Cfa,med
Dwd,Cfb,med
Dwd,Cfc,med
Dwd,Csa,med
Dwd,Csb,med
Dwd,Csc,med
Dwd,Cwa,med
Dwd,Cwb,med
Dwd,Cwc,med
Dwd,Dfa,med
Dwd,Dfb,med
Dwd,Dfc,med
Dwd,Dfd,med
Dwd,Dsa,low
Dwd,Dsb,low
Dwd,Dsc,low
Dwd,Dsd,low
Dwd,Dwa,low
Dwd,Dwb,low
Dwd,Dwc,low
Dwd,Dwd,low
Dwd,EF,low
Dwd,ET,low
EF,Af,med
EF,Am,med
EF,As,low
EF,Aw,med
EF,BWk,low
EF,BWh,low
EF,BSk,low
EF,BSh,low
EF,Cfa,med
EF,Cfb,med
EF,Cfc,med
EF,Csa,med
EF,Csb,med
EF,Csc,med
EF,Cwa,med
EF,Cwb,med
EF,Cwc,med
EF,Dfa,med
EF,Dfb,med
EF,Dfc,med
EF,Dfd,med
EF,Dsa,low
EF,Dsb,low
EF,Dsc,low
EF,Dsd,low
EF,Dwa,low
EF,Dwb,low
EF,Dwc,low
EF,Dwd,low
EF,EF,low
EF,ET,low
ET,Af,med
ET,Am,med
ET,As,low
ET,Aw,med
ET,BWk,low
ET,BWh,low
ET,BSk,low
ET,BSh,low
ET,Cfa,med
ET,Cfb,med
ET,Cfc,med
ET,Csa,med
ET,Csb,med
ET,Csc,med
ET,Cwa,med
ET,Cwb,med
ET,Cwc,med
ET,Dfa,med
ET,Dfb,med
ET,Dfc,med
ET,Dfd,med
ET,Dsa,low
ET,Dsb,low
ET,Dsc,low
ET,Dsd,low
ET,Dwa,low
ET,Dwb,low
ET,Dwc,low
ET,Dwd,low
ET,EF,low
ET,ET,low
